1,10,1,585861
2,9,1,605000
3,8,1,610000
4,7,1,615000
5,6,1,620000
6,5,1,625000
7,4,1,630000
8,3,1,635000
9,2,1,640000
10,1,1,645000
11,2,1,650000
12,3,1,655000
13,4,1,660000
14,5,1,665000
15,6,1,670000
16,7,1,675000
17,8,1,680000
18,9,1,685000
19,10,1,690000
20,11,1,695000
21,12,1,700000
22,13,1,705000
23,14,1,710000
24,15,1,715000
25,16,1,720000
26,17,1,725000
27,18,1,730000
28,19,1,735000
29,20,1,740000
30,21,1,745000
31,22,1,750000
32,23,1,755000
33,24,1,760000
34,25,1,765000
35,26,1,770000
36,27,1,775000
37,28,1,780000
38,29,1,785000
39,28,1,790000
40,27,1,795000
41,26,1,800000
42,25,1,805000
43,24,1,810000
44,23,1,815000
45,22,1,820000
46,21,1,825000
47,20,1,830000
48,19,1,835000
49,18,1,840000
50,17,1,845000
51,16,1,850000
52,15,1,855000
53,14,1,860000
54,13,1,865000
55,12,1,870000
56,11,1,875000
57,10,1,880000
58,9,1,885000
59,8,1,890000
60,7,1,895000
59,6,1,900000
58,5,1,905000
57,4,1,910000
56,3,1,915000
55,2,1,920000
54,1,1,925000
53,2,1,930000
52,3,1,935000
51,4,1,940000
50,5,1,945000
49,6,1,950000
48,7,1,955000
47,8,1,960000
46,9,1,965000
45,10,1,970000
44,11,1,975000
43,12,1,980000
42,13,1,985000
41,14,1,990000
40,15,1,995000
39,16,1,1000000
38,17,1,1005000
37,18,1,1010000
36,19,1,1015000
35,20,1,1020000
34,21,1,1025000
33,22,1,1030000
32,23,1,1035000
31,24,1,1040000
30,25,1,1045000
29,26,1,1050000
28,27,1,1055000
27,28,1,1060000
26,29,1,1065000
25,30,1,1070000
24,31,1,1075000
23,32,1,1080000
22,33,1,1085000
21,34,1,1090000
20,35,1,1095000
19,36,1,1100000
18,37,1,1105000
17,38,1,1110000
